ds,y,moving_avg,yhat,yhat_lower,yhat_upper
2015-07-23,28.031694412231445,28.794074249267577,174.33409795765706,172.5966501890472,176.22067365420386
2015-07-24,27.88387107849121,28.5647331237793,174.21466039637752,172.44053589739954,176.04353470958569
2015-07-27,27.49640655517578,28.148152542114257,174.33978959447734,172.57055721951832,176.02489238128356
2015-07-28,27.633024215698242,27.818025207519533,174.37548396801884,172.62387459195952,176.09551926973035
2015-07-29,27.54568099975586,27.71813545227051,174.41169090204068,172.6221762127179,176.0880303607545
2015-07-30,27.40682029724121,27.59316062927246,174.35309461962126,172.6366707382964,175.98807290093686
2015-07-31,27.167179107666016,27.449822235107423,174.2498669537795,172.54675824966228,175.9009301603095
2015-08-03,26.52663803100586,27.25586853027344,174.42582792346366,172.70909743681207,176.15063966551503
2015-08-04,25.675561904907227,26.864376068115234,174.47814866959948,172.77896618113775,176.28266573332525
2015-08-05,25.84577178955078,26.524394226074218,174.53023710250272,172.77040348400536,176.19267761678452
2015-08-06,25.902019500732422,26.223434066772462,174.48640152421663,172.71282130544373,176.11864932926488
2015-08-07,25.989757537841797,25.987949752807616,174.39643133636736,172.54352902724932,176.00987663788442
2015-08-10,26.934682846069336,26.069558715820314,174.59939388768166,172.89698377641867,176.35401695473234
2015-08-11,25.533048629760742,26.041056060791014,174.6552931846735,173.00671716594312,176.4725128002348
2015-08-12,25.9267635345459,26.05725440979004,174.70774097770422,172.93709932552298,176.4963143860545
2015-08-13,25.906518936157227,26.058154296875,174.66080395273661,172.92249883912305,176.45862282400452
2015-08-14,26.088747024536133,26.077952194213868,174.564083856086,172.7847342490522,176.29780593166495
2015-08-17,26.358732223510742,25.962762069702148,174.72398832662174,173.0984924441189,176.45166445681537
2015-08-18,26.210243225097656,26.09820098876953,174.7579852964503,173.01805185267975,176.58497292599688
2015-08-19,25.87501335144043,26.087850952148436,174.7849752471249,173.04905439629425,176.46233189791653
2015-08-20,25.344070434570312,25.975361251831053,174.7092755384478,173.02960972358844,176.43985780854615
2015-08-21,23.793949127197266,25.51640167236328,174.58081701136712,172.82281794455648,176.25397012894385
2015-08-24,23.200000762939453,24.884655380249022,174.63203948963877,172.89601687213727,176.28548991009148
2015-08-25,23.3394832611084,24.31050338745117,174.6271047556953,172.92405508444725,176.4853120433749
2015-08-26,24.678119659423828,24.071124649047853,174.61483409629136,172.96904063837374,176.48278253558595
2015-08-27,25.40480613708496,24.083271789550782,174.50021511458138,172.6878095391903,176.242796376266
2015-08-28,25.48805046081543,24.422092056274415,174.33386908290228,172.68846217793322,176.06121778520694
2015-08-31,25.368812561035156,24.855854415893553,174.2845351601535,172.4934762988037,176.02964574086798
2015-09-01,24.234914779663086,25.034940719604492,174.25265799055785,172.44526697797411,176.15176792447463
2015-09-02,25.27432632446289,25.154182052612306,174.21773752395023,172.64590994744896,175.89585639334877
2015-09-03,24.831113815307617,25.039443588256837,174.0852752567985,172.3525276759803,175.8223674791438
2015-09-04,24.58363151550293,24.858559799194335,173.9063675504174,172.10971182650258,175.62985107847553
2015-09-08,25.267578125,24.838312911987305,173.83282426238327,172.2633460796871,175.71161154577035
2015-09-09,24.7816104888916,24.947652053833007,173.8147533030364,172.22697670452803,175.61549693644284
2015-09-10,25.326072692871094,24.958001327514648,173.70490650336197,171.853104896546,175.47852561388515
2015-09-11,25.695032119750977,25.13078498840332,173.55404311502002,171.91470442889917,175.32186227478712
2015-09-14,25.942514419555664,25.402561569213866,173.61387538347356,171.84400488795404,175.41534891451863
2015-09-15,26.160747528076172,25.581195449829103,173.63780693027715,171.87060134162616,175.2789892946418
2015-09-16,26.189992904663086,25.8628719329834,173.66719796688096,171.80667973058718,175.35346852400608
2015-09-17,25.629793167114258,25.923616027832033,173.6065716239853,171.9565381227336,175.26621020805106
2015-09-18,25.524049758911133,25.889419555664062,173.50586190019703,171.73201444905962,175.08196915148613
2015-09-21,25.92001724243164,25.884920120239258,173.71333530631227,171.88667460656106,175.54042444589072
2015-09-22,25.512798309326172,25.755330276489257,173.7828001232619,171.98044746776523,175.52946181018265
